service_date,line,estimated_boardings,ObjectId
2020/09/14 04:00:00+00,Greenbush,363,476
2020/09/14 04:00:00+00,Fairmount,388,477
2020/09/15 04:00:00+00,Providence/Stoughton,3178,478
2020/09/15 04:00:00+00,Newburyport/Rockport,1821,479
2020/09/15 04:00:00+00,Framingham/Worcester,1986,480
2020/09/15 04:00:00+00,Franklin/Foxboro,1858,481
2020/09/15 04:00:00+00,Middleborough/Lakeville,1092,482
2020/09/15 04:00:00+00,Lowell,1123,483
2020/09/15 04:00:00+00,Haverhill,797,484
2020/09/15 04:00:00+00,Kingston,806,485
2020/09/15 04:00:00+00,Needham,727,486
2020/09/15 04:00:00+00,Fitchburg,615.5,487
2020/09/15 04:00:00+00,Greenbush,452,488
2020/09/15 04:00:00+00,Fairmount,365,489
2020/09/16 04:00:00+00,Providence/Stoughton,3377,490
2020/09/16 04:00:00+00,Newburyport/Rockport,1914,491
2020/09/16 04:00:00+00,Framingham/Worcester,2202.5,492
2020/09/16 04:00:00+00,Franklin/Foxboro,1818.5,493
2020/09/16 04:00:00+00,Middleborough/Lakeville,1090,494
2020/09/16 04:00:00+00,Lowell,1143,495
2020/09/16 04:00:00+00,Haverhill,765.5,496
2020/09/16 04:00:00+00,Kingston,906.5,497
2020/09/16 04:00:00+00,Needham,727,498
2020/09/16 04:00:00+00,Fitchburg,593,499
2020/09/16 04:00:00+00,Greenbush,401,500
2020/09/16 04:00:00+00,Fairmount,393,501
2020/09/17 04:00:00+00,Providence/Stoughton,3711.5,502
2020/09/17 04:00:00+00,Newburyport/Rockport,1747,503
2020/09/17 04:00:00+00,Framingham/Worcester,1918.5,504
